sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
38460858874,2022-09-22T08:50:30Z,85,21,21,43,75,57,0.11823480432972523
38446170064,2022-09-21T07:56:30Z,78,21,19,38,66,57,0.11244239631336406
38437884525,2022-09-20T09:01:30Z,62,13,22,27,21,57,0.06082725060827251
38433690525,2022-09-20T04:07:00Z,68,21,19,28,61,57,0.13658536585365855
38420149343,2022-09-19T07:11:30Z,79,19,21,39,53,56,0.10226155358898721
38411734092,2022-09-18T09:32:30Z,83,21,19,43,68,55,0.12736236647493837
38397485038,2022-09-17T07:56:30Z,75,18,19,38,70,55,0.13896987366375121
38388209116,2022-09-16T09:36:00Z,85,21,20,44,86,55,0.11035072711719418
38380828519,2022-09-15T09:22:30Z,84,19,21,44,93,55,0.11003521126760564
38367364850,2022-09-14T06:26:30Z,73,17,21,35,63,56,0.12282497441146366
38353905131,2022-09-13T07:44:30Z,87,21,21,45,79,57,0.11603188662533215
38340787512,2022-09-12T09:16:30Z,81,21,19,41,74,56,0.14135338345864662
38329650889,2022-09-11T07:14:30Z,79,20,20,39,67,56,0.12564366632337795
38319382240,2022-09-10T08:30:30Z,75,18,19,38,78,56,0.12335692618806876
38305682306,2022-09-09T10:05:30Z,77,18,17,42,40,55,0.14266211604095563
38298122646,2022-09-08T10:00:00Z,80,20,19,41,59,55,0.1434327155519742
38284401839,2022-09-07T09:19:30Z,79,21,20,38,62,55,0.13195098963242224
38273192584,2022-09-06T07:21:30Z,76,18,19,39,77,55,0.12340842311459353
38262780664,2022-09-05T06:31:00Z,65,16,21,28,70,54,0.08585055643879173
38251002678,2022-09-04T11:17:00Z,80,19,19,42,80,54,0.1533596837944664
38243715324,2022-09-03T13:16:30Z,58,15,20,23,14,55,0.1101511879049676
38240513812,2022-09-03T06:37:30Z,67,16,22,29,45,55,0.10384068278805121
38227625927,2022-09-02T08:54:00Z,85,20,21,44,89,55,0.09260908281389137
38215421577,2022-09-01T09:06:30Z,81,20,21,40,78,55,0.10880316518298715
38202614043,2022-08-31T09:26:00Z,87,22,20,45,101,55,0.10927456382001836
38193566352,2022-08-30T09:03:30Z,83,21,21,41,65,57,0.08878048780487804
38178358455,2022-08-29T08:22:30Z,85,19,22,44,56,57,0.08353808353808354
38169708799,2022-08-28T09:32:30Z,75,17,20,38,80,57,0.12335216572504708
38154565970,2022-08-27T09:15:00Z,81,19,19,43,68,56,0.11847233047544817
38143828260,2022-08-26T09:01:30Z,77,19,19,39,86,56,0.14167433302667892
38138210200,2022-08-25T06:34:00Z,70,17,20,33,71,56,0.10433763188745604
38121166776,2022-08-24T07:46:30Z,76,19,18,39,85,55,0.14232558139534884
38113223161,2022-08-23T09:43:30Z,82,19,19,44,71,55,0.14095744680851063
38098365821,2022-08-22T07:24:00Z,77,21,21,35,63,56,0.12371134020618557
38086428335,2022-08-21T07:34:30Z,78,19,21,38,84,56,0.10286844708209693
38077021773,2022-08-20T09:02:30Z,77,20,18,39,91,56,0.16491897044804577
38065509262,2022-08-19T08:43:30Z,77,19,21,37,63,56,0.10676835081029552
38054707684,2022-08-18T07:02:30Z,74,20,21,33,61,56,0.11659192825112108
38040075196,2022-08-17T08:13:00Z,80,20,20,40,57,57,0.12538226299694188
38024608176,2022-08-16T09:06:00Z,74,22,19,33,89,56,0.1263902932254803
38008180648,2022-08-15T08:12:00Z,87,21,21,45,116,57,0.09497716894977169
37996282872,2022-08-14T10:22:00Z,81,18,20,43,79,58,0.14058776806989676
37986532040,2022-08-13T10:09:30Z,79,19,18,42,79,57,0.1368421052631579
37971894884,2022-08-12T06:04:00Z,81,20,21,40,47,57,0.10367577756833177
37962525210,2022-08-11T07:01:30Z,72,19,19,34,55,56,0.11995104039167687
37948970601,2022-08-10T09:26:00Z,80,19,18,43,78,55,0.12773403324584426
37938017794,2022-08-09T08:15:00Z,81,18,19,44,50,56,0.13640469738030714
37927699319,2022-08-08T07:28:30Z,84,21,22,41,68,56,0.0940940940940941
37915521978,2022-08-07T08:34:30Z,79,20,20,39,73,56,0.12611717974180736
37903949996,2022-08-06T07:35:30Z,81,21,19,41,73,56,0.1386861313868613
37893567235,2022-08-05T08:16:00Z,76,18,21,37,70,57,0.12996777658431793
